	2025-26	2024-25	2023-24	2022-23
Scoring Settings	# of Points			
Passing				
Passing Yards (points per yard: +/- 0.1)	0.02	0.02	0.02	0.02
Passing TDs	4	4	4	4
Passing First Down	1	1	1	1
2-pt Conversion	2	2	2	2
Pass Intercepted	-2	-2	-2	-2
Pick 6 Thrown	0	0		
Pass Completed	1	1		
Incomplete Pass	3	3	2	1
Pass Attempt	0	0	0	-1
QB Sacked	1	1	1	
40+ Yard Completion Bonus	0	0		
40+ Yard Pass TD Bonus	0	0		
50+ Yard Pass TD Bonus	0	0		
Rushing				
Rushing Yards (points per yard: +/- 0.1)	-0.1	0	0	0.05
Rushing TD	6	6	6	6
Rushing First Down	0	0		
2-pt Conversion	2	2	2	2
Rush Attempt	4	1	1	1
40+ Yard Rush Bonus	0	0		
40+ Yard Rush TD Bonus	0	0		
50+ Yard Rush TD Bonus	0	0		
Receiving				
Reception	-2	-1	0	0
Receiving Yards (points per yard: +/- 0.1)	0.1	0.1	0.1	0.1
Receiving TD	6	6	6	6
Receiving First Down	0	0		
2-pt Conversion	2	2	2	2
0-4 Yard Reception Bonus	0	0		
5-9 Yard Reception Bonus	1	1	1	
10-19 Yard Reception Bonus	0	0		
20-29 Yard Reception Bonus	0	0		
30-39 Yard Reception Bonus	0	0		
40-49 Yard Reception Bonus	0	0		
50+ Yard Reception Bonus	0	0		
Reception Bonus - RB	1	0		
Reception Bonus - WR	1	1		
Reception Bonus - TE	1	1		
Kicking				
FG Made	0	0		
FG Made (0-19 yards)	3	3	3	3
FG Made (20-29 yards)	3	3	3	3
FG Made (30-39 yards)	3	3	3	3
FG Made (40-49 yards)	4	4	4	4
FG Made (50+ yards)	5	5	5	5
Points per FG yard (points per yard +/- 0.1)	0	0		
Points per FG yard over 30	0	0		
PAT Made	1	1	1	1
FG Missed	-1	-1	-1	-1
FG Missed (0-19 yards)	0	0		
FG Missed (20-29 yards)	0	0		
FG Missed (30-39 yards)	0	0		
FG Missed (40-49 yards)	0	0		
FG Missed (50+ yards)	0	0		
PAT Missed	-1	-1	-1	-1
Team Defense				
Defense TD	6	6	6	6
Points Allowed (0)	5	5	5	5
Points Allowed (1-6)	4	4	4	4
Points Allowed (7-13)	3	3	3	3
Points Allowed (14-20)	1	1	1	1
Points Allowed (21-27)	0	0	0	0
Points Allowed (28-34)	-1	-1	-1	-1
Points Allowed (35+)	-4	-4	-4	-4
Points per Point Allowed	2	2	2	
Less Than 100 Total Yards Allowed	5	5	5	5
100-199 Yards Allowed	3	3	3	3
200-299 Yards Allowed	2	2	2	2
300-349 Yards Allowed	0	0	0	0
350-399 Yards Allowed	-1	-1	-1	-1
400-449 Yards Allowed	-3	-3	-3	-3
450-499 Yards Allowed	-5	-5	-5	-5
500-549 Yards Allowed	-6	-6	-6	-6
550+ Yards Allowed	-7	-7	-7	-7
Points per Yards Allowed (points per yard +/- 0.1)	0	0		
3 and Out	1	1	1	
4th Down Stop	0	0		
Hit on QB	0	0		
Sack	1	1	1	1
Sack Yards (points per yard: +/- 0.1)	0	0		
Interception	2	2	2	2
Interception Yards (points per yard: +/- 0.1)	0	0		
Fumble Recovery	2	2	2	2
Fumble Return Yards (points per yard: +/- 0.1)	0	0		
Tackle For Loss	0	0		
Assisted Tackle	0	0		
Solo Tackle	0	0		
Tackle	1	1	0	-1
Safety	2	2	2	2
Forced Fumble	1	1	1	1
Blocked Kick	2	2	2	2
Forced Punt	0	0		
Pass Defended	0	0		
2-pt Conversion Returns	0	0		
Missed FG Return Yards (points per yard: +/- 0.1)	0	0		
Blocked Kick Return Yards (points per yard: +/- 0.1)	0	0		
Special Teams (D/ST)				
Special Teams TD	6	6	6	6
Special Teams Forced Fumble	1	1	1	1
